fold	precision	recall	f1	mcc	pr_auc	roc_auc
0	0.9608938547486033	0.9828571428571429	0.9717514124293786	0.9683286058011847	0.9808958084335783	0.9951768231768232
1	1.0	0.9657142857142857	0.9825581395348837	0.9806524704539328	0.9895050930831863	0.9961958041958041
2	0.9772727272727273	0.9828571428571429	0.98005698005698	0.9776118821927244	0.9864052405836479	0.996041187643707
3	0.9770114942528736	0.9714285714285714	0.9742120343839542	0.9710691284702556	0.981592520505469	0.9944676597020894
4	0.9655172413793104	0.9655172413793104	0.9655172413793104	0.9613185010014237	0.9638740275110844	0.9966015942343733
